,00097399,Cosmético,13/08/2018,-,verdadero,variable,value
0,97419,Cosmético,13/08/2018,-,verdadero,falso,falso
1,97432,Medicinal,13/08/2018,-,verdadero,falso,falso
2,11424,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
3,12771,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
4,12984,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
5,13171,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
6,13368,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
7,14888,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
8,15745,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
9,15920,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
10,16032,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
11,16094,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
12,16118,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
13,16128,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
14,16500,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
15,16854,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
16,16951,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
17,16956,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
18,16984,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
19,17047,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
20,17214,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
21,17293,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
22,17322,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
23,17465,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
24,17652,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
25,17736,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
26,17808,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
27,17809,Medicinal,02/07/2018,02/07/2018,verdadero,falso,falso
28,18228,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
29,19369,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
30,19462,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
31,19495,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
32,19701,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
33,19978,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
34,20048,Cosmético,02/07/2018,04/07/2018,verdadero,falso,falso
35,20160,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
36,20392,Medicinal,02/07/2018,04/07/2018,verdadero,falso,falso
37,20597,Cosmético,02/07/2018,02/07/2018,verdadero,falso,falso
